DATE,OPEN,HIGH,LOW,CLOSE
06/16/2023,12.120000,12.710000,10.580000,12.430000
06/20/2023,9.400000,11.050000,8.550000,11.040000
06/21/2023,9.790000,10.930000,9.290000,10.930000
06/22/2023,9.430000,10.510000,8.670000,10.340000
06/23/2023,9.600000,11.450000,8.180000,11.320000
06/26/2023,9.030000,11.330000,8.170000,11.090000
06/27/2023,8.870000,10.780000,7.930000,10.540000
06/28/2023,8.380000,11.370000,8.020000,11.360000
06/29/2023,9.210000,13.170000,9.100000,13.090000
06/30/2023,9.510000,15.300000,9.470000,15.300000
07/03/2023,10.410000,10.510000,9.510000,9.890000
07/05/2023,8.230000,10.100000,7.570000,9.990000
07/06/2023,9.570000,13.960000,9.570000,13.920000
07/07/2023,10.130000,11.750000,8.380000,11.250000
07/10/2023,8.680000,10.610000,7.960000,10.480000
07/11/2023,8.590000,16.330000,8.290000,15.910000
07/12/2023,10.260000,11.210000,8.430000,10.620000
07/13/2023,8.590000,12.060000,7.600000,12.060000
07/14/2023,8.770000,10.570000,7.960000,10.170000
07/17/2023,7.680000,9.850000,7.190000,9.720000
07/18/2023,7.510000,10.600000,6.920000,9.630000
07/19/2023,8.150000,11.740000,7.560000,10.650000
07/20/2023,8.570000,12.290000,8.180000,11.260000
07/21/2023,9.030000,10.390000,8.150000,9.730000
07/24/2023,7.660000,9.540000,7.030000,9.320000
07/25/2023,8.420000,16.410000,7.870000,15.140000
07/26/2023,13.140000,14.790000,10.390000,10.420000
07/27/2023,8.000000,16.740000,7.120000,14.810000
07/28/2023,8.760000,11.390000,8.460000,10.470000
07/31/2023,8.220000,9.860000,7.650000,9.380000
08/01/2023,8.390000,9.650000,7.460000,9.420000
08/02/2023,9.660000,14.200000,9.140000,13.790000
08/03/2023,10.620000,16.620000,10.000000,15.300000
08/04/2023,10.480000,16.940000,8.860000,14.690000
08/07/2023,9.220000,11.080000,8.700000,10.490000
08/08/2023,9.610000,12.050000,9.390000,11.080000
08/09/2023,9.470000,18.440000,9.030000,17.440000
08/10/2023,11.780000,16.740000,10.760000,15.260000
08/11/2023,12.180000,14.190000,11.590000,12.980000
08/14/2023,10.630000,11.960000,9.450000,11.770000
08/15/2023,10.150000,14.630000,9.830000,14.200000
08/16/2023,10.620000,14.910000,10.220000,14.160000
08/17/2023,10.430000,16.380000,10.430000,15.970000
08/18/2023,12.250000,16.600000,11.970000,16.140000
08/21/2023,10.910000,13.660000,10.190000,13.600000
08/22/2023,9.990000,13.330000,9.870000,12.820000
08/23/2023,10.180000,15.370000,10.180000,15.340000
08/24/2023,10.470000,17.830000,10.470000,17.360000
08/25/2023,15.210000,16.590000,13.850000,13.960000
08/28/2023,9.820000,11.970000,9.760000,11.350000
08/29/2023,9.790000,12.310000,9.420000,12.310000
08/30/2023,10.050000,12.010000,9.650000,11.980000
08/31/2023,9.850000,12.720000,9.440000,12.720000
09/01/2023,10.020000,11.240000,8.930000,10.440000
09/05/2023,8.740000,9.960000,8.170000,9.930000
09/06/2023,8.810000,11.350000,8.200000,10.640000
09/07/2023,9.710000,11.050000,9.390000,11.050000
09/08/2023,9.750000,11.110000,8.410000,10.920000
09/11/2023,8.110000,9.980000,7.760000,9.980000
09/12/2023,8.430000,13.820000,8.110000,13.780000
09/13/2023,10.100000,11.500000,8.610000,11.010000
09/14/2023,8.580000,12.190000,8.210000,11.930000
09/15/2023,9.140000,11.670000,8.520000,10.590000
09/18/2023,8.840000,10.030000,7.890000,9.580000
09/19/2023,8.390000,14.150000,8.200000,13.790000
09/20/2023,13.090000,15.290000,12.320000,13.840000
09/21/2023,11.320000,19.090000,10.510000,19.090000
09/22/2023,11.520000,19.070000,10.870000,17.490000
09/25/2023,12.630000,16.280000,11.390000,14.960000
09/26/2023,12.380000,17.150000,11.460000,16.950000
09/27/2023,11.660000,18.230000,11.320000,17.530000
09/28/2023,14.940000,19.470000,14.200000,19.470000
09/29/2023,13.470000,18.970000,12.430000,17.290000
10/02/2023,12.550000,22.720000,11.600000,14.640000
10/03/2023,13.450000,17.840000,12.680000,16.760000
10/04/2023,13.300000,15.950000,12.720000,15.780000
10/05/2023,13.180000,19.500000,12.570000,19.480000
